"region_txt","summary"
"Middle East & North Africa","02/24/2016: Assailants detonated explosives at a civilian residence south of Mosul, Nineveh, Iraq. This was one of 20 coordinated attacks in the area on the same day. There were no reported casualties resulting from the blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","02/24/2016: Assailants detonated explosives at a civilian residence south of Mosul, Nineveh, Iraq. This was one of 20 coordinated attacks in the area on the same day. There were no reported casualties resulting from the blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL)."
"Sub-Saharan Africa","02/23/2016: Assailants opened fire on a military checkpoint in Lere town, Timbuktu region, Mali. Three soldiers were killed and four people, including two soldiers and two assailants, were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim extremists."
"Sub-Saharan Africa","02/24/2016: Assailants attacked an Internally Displaced Persons (IDP) camp in Dikwa, Borno, Nigeria. At least two security force members and 26 assailants were killed and eight people, including soldiers, civilians, and an assailant, were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram."
"South Asia","02/24/2016: Assailants attacked and abducted six civilians near Hulong Guri, Assam, India. The six hostage victims were wounded and released by the assailants shortly after their abduction. No group claimed responsibility for the attack."
"Southeast Asia","02/24/2016: Assailant set fire to a lumad refugee evacuation center in Davao City, Davao del Sur province, Philippines. Five people were injured in the blaze. No group claimed responsibility for the incident."
"South Asia","02/24/2016: Assailants shot and killed two civilians in Faryab province, Afghanistan. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"Middle East & North Africa","02/24/2016: An assailant attempted to stab an Israel Defense Forces (IDF) soldier near Alon Shvut, West Bank. The soldier was killed and the assailant was injured in the ensuing clash. No group claimed responsibility for the incident; however, the assailant was identified as a Palestinian extremist."
"South Asia","02/23/2016: Assailants attacked a National Uprising Movement (NUM) patrol in Aqcha, Jawzjan province, Afghanistan. One uprising member was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"South Asia","02/24/2016: An explosive device detonated targeting the vehicle of an Ittehad-i-Islami member in Karezak, Paghman district, Kabul province, Afghanistan. The member, identified as Naqibullah, was killed in the blast. The Taliban claimed responsibility for the attack."
"Southeast Asia","02/24/2016: Assailants opened fire on a military patrol in Bentuco village, Sorsogon province, Philippines. A soldier was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"South Asia","02/24/2016: Assailants fired a mortar at a security checkpost in Dukin area, Farah province, Afghanistan. An Afghan National Army (ANA) soldier was killed and three others were injured in the attack. The Taliban claimed responsibility for the incident."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Akwu village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Adagbo village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Aila village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Ugboju village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Okokolo village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"Sub-Saharan Africa","02/24/2016: Assailants attacked Abugbe village in Benue, Nigeria. This was one of six coordinated attacks on villages in Benue on the same day. At least 301 people were killed across the six raids. No group claimed responsibility for the incidents; however, sources attributed the attack to Fulani militants."
"South Asia","02/24/2016: Assailants attempted to abduct two traders from a market in Gabil, Meghalaya, India. The assailants opened fire on responding police officers and injured one officer. The traders were released following the clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Garo National Liberation Army."
"South Asia","02/24/2016: Police discovered and defused a crude bomb near Chongpotgre area, Meghalaya state, India. Achik Songna An'pachakgipa Kotok (ASAK) claimed responsibility for the incident."
"Middle East & North Africa","02/24/2016: Assailants fired rockets that landed and detonated in Jamiliyeh neighborhood, Aleppo city, Aleppo governorate, Syria. At least seven people were killed and 14 others were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Muslim extremists."
"Sub-Saharan Africa","02/24/2016: Assailants attacked and set fire to a village market in Ndim village, Ouham-Pende prefecture, Central African Republic. There were no reported casualties in the attack. No group claimed responsibility for the attack."
"South America","02/25/2016: An assailant set off an incendiary device at a Banco Santander automated teller machine (ATM) in La Cisterna neighborhood, Santiago, Chile. There were no reported casualties in the attack. The Informal Anarchist Federation and the International Revolutionary Front claimed responsibility for the incident."
"Sub-Saharan Africa","02/25/2016: Assailants fired mortars at the presidential palace in Mogadishu city, Banaadir region, Somalia. At least seven people were killed and nine others were injured in the attack. Al-Shabaab claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: An explosive device detonated in Jisr Diyala, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: An explosive device detonated in Nuayriyah area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: An explosive device detonated near a market in Al-Furat area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: An explosive device detonated near a market in Mushahidah area, Saladin, Iraq. At least three people were killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: A suicide bomber detonated targeting security forces near a mosque in Shuala area, Baghdad city, Baghdad governorate, Iraq. In addition to the assailant, at least five people were killed and 14 people were injured in the blast. The victims included soldiers and civilians. This was one of two coordinated attacks at the mosque in a short period of time. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/25/2016: A suicide bomber detonated at a mosque in Shuala area, Baghdad city, Baghdad governorate, Iraq. In addition to the assailant, at least 10 people were killed and 34 people were injured in the blast. This was one of two coordinated attacks at the mosque in a short period of time. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/25/2016: An explosive device attached to a Ministry of Electricity vehicle detonated in Bayaa neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and a second person was injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: Assailants opened fire on a military checkpoint in Madain, Diyala, Iraq. At least one soldier was killed and five soldiers were injured in the attack. No group claimed responsibility for the incident."
"Southeast Asia","02/25/2016: An explosive device detonated in front of Halal Food Industrial Estate in Panare, Pattani province, Thailand. An area caretaker was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to separatists."
"Middle East & North Africa","02/25/2016: Assailants fired chemical-laced rockets in Sinjar, Nineveh, Iraq. Scores of security force members and civilians were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","02/25/2016: Assailants shot and killed an off-duty soldier in Omer Kabak square, Sirnak city, Sirnak province, Turkey. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Worker's Party (PKK)."
"Middle East & North Africa","02/25/2016: An explosive device detonated at an oil pipeline in Idil district, Sirnak province, Turkey. There were no reported casualties resulting from the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Worker's Party (PKK)."
"Middle East & North Africa","02/25/2016: Security forces discovered and defused an explosives-laden vehicle at Bogazici University in Istanbul city, Istanbul province, Turkey. No group claimed responsibility for the incident."
"South Asia","02/25/2016: Security forces detained two suicide bombers in Yahya Khel district, Paktika province, Afghanistan. No group claimed responsibility for the attempted attack."
"South Asia","02/25/2016: An explosive device was discovered and defused in Baramula town, Jammu and Kashmir state, India. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An assailant armed with an ax and a knife attacked a security guard at a mall in Maale Adumim city, West Bank. The security guard was injured in the attack. No group claimed responsibility for the incident; however, authorities arrested Saadi Ali Abu Hamad, a Palestinian extremist, in connection with the attack."
"South Asia","02/25/2016: Two assailants attacked two civilians in their home in Khowaja Alwan area, Baghlan province, Afghanistan. One assailant was killed and both civilians and the other assailant were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"Eastern Europe","02/25/2016: Security forces identified and arrested an assailant planting an explosive device on a railway bridge between Pavlohrad and Lozove, Kharkiv region, Ukraine. No group claimed responsibility for the incident."
"South Asia","02/25/2016: A landmine detonated in Charkh district, Logar province, Afghanistan. A civilian was killed and three others were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/00/2016: Sometime between February 21, 2016 and February 27, 2016, an assailant rammed his car into a group of police officers in Kuwait City, Asimah, Kuwait. At least one police officer was killed in the attack. No group claimed responsibility; however, police officers arrested Abdulaziz Al-Shamlan, a Muslim extremist, who claimed responsibility for the incident."
"Southeast Asia","02/25/2016: Assailants set fire to a sawmill and other pieces of equipment in Jabonga town, Agusan del Norte, Philippines. There were no reported casualties in the attack. The New People's Army (NPA) claimed responsibility for the incident."
"Southeast Asia","02/25/2016: Five assailants opened fire at a military detachment in San Ramon village, Daraga town, Albay province, Philippines. A soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Southeast Asia","02/25/2016: An explosive device detonated in Nara village, Maguindanao province, Philippines. There were no reported casualties in the attack; additionally, four other explosive devices were recovered following the blast. No group claimed responsibility for the incident."
"Western Europe","02/25/2016: Security forces discovered and defused a pipe bomb in Belfast, Northern Ireland, United Kingdom. No group claimed responsibility for the incident."
"Western Europe","02/25/2016: Assailants shot and killed a civilian in south Belfast, Northern Ireland, United Kingdom. No group claimed responsibility for the incident; however, sources attributed the attack to the Irish National Liberation Army (INLA)."
"Sub-Saharan Africa","02/25/2016: Assailants opened fire on civilians in Gireida locality, South Darfur, Sudan. An unknown number of people were injured in the attack. No group claimed responsibility for the incident."
"South Asia","02/25/2016: Assailants opened fire on Abdul Malik, a village development council head, in Shah Zafar neighborhood, Tarin Kot city, Uruzgan province, Afghanistan. Malik and his son were killed in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","02/25/2016: Security forces shot and killed a suicide bomber before he could detonate in Sabratah city, Nuqat Al Khams, Libya. No group claimed responsibility for the incident; however, sources attributed the attack to the Tripoli Province of the Islamic State."
"South Asia","02/25/2016: Assailants abducted 50 civilians in Kotal Koraz area, Khwaja Sabz Posh district, Faryab province, Afghanistan. Forty-six of the hostages were released on the shortly after the abduction, while two hostages were killed. The whereabouts of the remaining two hostages are unknown. The Taliban claimed responsibility for the incident."
"South America","02/26/2016: An explosive device detonated targeting a police truck in Casanare Department, Colombia. Three police officers were killed and seven officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the National Liberation Army of Colombia (ELN)."
"South Asia","02/25/2016: An explosive device detonated targeting a police commander in Waygal district, Nuristan province, Afghanistan. The commander was killed and his guard was wounded in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An explosive device detonated near shops in Shaab neighborhood, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An explosive device detonated near a cafe in Al Iskan area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An explosive device detonated targeting a police patrol in Hawr Rajab area, Baghdad governorate, Iraq. At least one person was killed and four people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An explosive device detonated near a billiard hall in Sahirun neighborhood, Jisr Diyala area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: A suicide bomber detonated an explosives-laden vehicle targeting soldiers in Hawari district, Benghazi city, Benghazi district, Libya. In addition to the assailant, four soldiers were killed and three soldiers were injured in the attack. The Barqa Province of the Islamic State and claimed responsibility for the incident."
"Sub-Saharan Africa","02/26/2016: Assailants detonated an explosives-laden vehicle and stormed the Somali Youth League (SYL) Hotel in Mogadishu, Banaadir, Somalia. This was one of two coordinated attacks in or near the hotel within a short period of time. At least 25 people and five assailants were killed and 60 people were injured across both attacks. Al-Shabaab claimed responsibility for the incidents."
"Southeast Asia","02/26/2016: Assailants detonated an explosive device and opened fire on a police vehicle in Kibia village, North Cotabato province, Philippines. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Middle East & North Africa","02/26/2016: Assailants fired 13 rockets at Taza Khurmatu, Kirkuk, Iraq. At least three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","02/26/2016: Security forces identified and stopped a suicide bomber from detonating an explosives-laden vehicle in Bayji, Saladin, Iraq. There were no reported casualties resulting from the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","02/26/2016: An explosives-laden vehicle detonated at Peace Garden Park behind the Somali Youth League (SYL) Hotel in Mogadishu, Banaadir, Somalia. This was one of two coordinated attacks in or near the hotel within a short period of time. At least 25 people and five assailants were killed and 60 people were injured across both attacks. Al-Shabaab claimed responsibility for the incidents."
"South Asia","02/26/2016: Security forces discovered and defused an explosive device in Narayanpur district, Chhattisgarh state, India. No group claimed responsibility for the incident; however, sources attributed the attempted attack to Maoists."
"Southeast Asia","02/26/2016: Assailants opened fire on Ledna Semona in Barangay Ubay, Zamboanga del Norte province, Philippines. Semona, barangay chair, was killed in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: Assailants opened fire on Al-Marazeek police checkpoint in Giza governorate, Egypt. A police officer was killed and a civilian was injured in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: Security forces defused two explosives-laden vehicle on Faisal Street, Giza city, Giza governorate, Egypt. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: Assailants opened fire on a police station in Damietta city, Damietta governorate, Egypt. Two assailants were killed and two police officers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Muslim Brotherhood."
"Western Europe","02/26/2016: Police personnel defused an explosive device planted outside of a house in Shangan area of Ballymun, Dublin, Ireland. No group claimed responsibility for the incident."
"Middle East & North Africa","02/26/2016: An assailant attempted to stab Israel Defense Forces (IDF) soldiers near Beit El, West Bank. The soldiers shot and killed the assailant before he could carry out the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Mahmoud Muhammad Shaalan, a Palestinian extremist."
"Middle East & North Africa","02/26/2016: Assailants opened fire on Adham Mohammed Al Ga'ari in Khur Maksar district, Aden city, Adan governorate, Yemen. Al Ga'ari, an intelligence official, was killed in the assault. No group claimed responsibility for the attack."
"Western Europe","02/26/2016: An explosive device detonated outside the residence of Christos Simorelis, a Member of Parliament, in Mouria Thessaly, Greece. No casualties were reported in the blast. No group claimed responsibility for the incident."
"Sub-Saharan Africa","02/26/2016: Assailants threw a grenade at an administrative building in Khada, Mogadishu, Banaadir, Somalia. Specific casualties were not reported. No group claimed responsibility for the incident."
"Southeast Asia","02/26/2016: Assailants opened fire on military personnel in Sitio Kitondaw, Sangay village, Buenavista town, Agusan del Norte province, Philippines. A soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Southeast Asia","02/26/2016: Security forces discovered and defused an explosive device on Santo Nino Street in Poblacion 6 village, Midsayap town, North Cotabato province, Philippines. No group claimed responsibility for the incident."
"Central Asia","02/26/2016: Assailants opened fire on Aleksi Petriashvili in Tbilisi, Georgia. Petriashvili, a former state minister and leader of the Free Democrats party, was wounded in the attack. No group claimed responsibility for the incident."
"South Asia","02/26/2016: Assailants abducted Biswanath Khilo in Panasput, Odisha state, India. Khilo, an alleged police informant, was found dead the following morning. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists."
"South Asia","02/26/2016: An assailant threw a grenade at Dunya-e Nawin radio station in Parwan province, Afghanistan. There were no reported casualties in the blast. No group claimed responsibility for the incident."
"South Asia","02/26/2016: Assailants attacked an Afghan National Army (ANA) post in Kunar province, Afghanistan. At least one soldier was injured in the attack. No group claimed responsibility for the incident."
"Western Europe","02/26/2016: A 15-year old assailant stabbed a police officer in Hanover, Germany. The police officer was injured as a result of the attack. No group claimed responsibility for the incident; however, sources stated that the assailant had recently joined the Islamic State of Iraq and the Levant (ISIL) during a trip to Turkey."
"Western Europe","02/26/2016: Assailants set fire to the vehicle of Jon Rathmell, a local councilor, at his residence in Nunthorpe, England, United Kingdom. There were no reported casualties in the attack. No group claimed responsibility for the incident."
"South Asia","02/27/2016: An explosive device detonated in Kaga Bazaar area, Khogyani district, Nangarhar province, Afghanistan. One person was killed and five people were wounded in the blast. No group claimed responsibility for the incident."
"South Asia","02/27/2016: An explosive device detonated near a police vehicle in Bolan, Helmand, Afghanistan. At least two officers were killed in the blast. The Taliban claimed responsibility for the attack."
"South Asia","02/27/2016: A suicide bomber detonated outside of the provincial government headquarters in Asadabad city, Kunar province, Afghanistan. In addition to the suicide bomber, at least 13 people, including anti-Taliban commander Khan Jan, were killed and 40 people were injured in the blast. No group claimed responsibility for the incident; however, sources suspected that the Taliban was involved."
"South Asia","02/27/2016: A suicide bomber detonated in front of the Defense Ministry headquarters in the 2nd police district of Kabul city, Kabul province, Afghanistan. In addition to the assailant at least 15 people were killed and 13 people were wounded in the blast; the victims included defense ministry employees, soldiers, and civilians. The Taliban claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: Assailants armed with mortars and firearms attacked Tall Abyad, Raqqah governorate, Syria. At least 75 people, including 20 People's Protection Units (YPG) soldiers, 10 civilians, and 45 assailants, were killed and an unknown number of others were injured in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: Assailants fired projectiles that landed and detonated in Jorah neighborhood, Deir ez-Zor, Syria. At least two people were killed in the attack. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL)."
"Middle East & North Africa","02/27/2016: A suicide bomber detonated an explosives-laden vehicle at a Syrian Armed Forces (SAF) checkpoint in Salamiyah city, Hamah governorate, Syria. In addition to the bomber, at least two soldiers were killed and four others were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack."
"Middle East & North Africa","02/27/2016: A suicide bomber detonated an explosives-laden motorcycle in Teeba, Hamah governorate, Syria. In addition to the bomber, at least four people were killed and several others were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack."
"Middle East & North Africa","02/27/2016: An explosive device detonated in Abu Ghraib, Al Anbar governorate, Iraq. At least two people were killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: An explosive device detonated along Sheikh Omar Street in Rusafa neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: An explosive device detonated in Basmayah area, southwestern Baghdad city, Baghdad governorate, Iraq. At least two people were killed and five people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: An explosive device attached to a vehicle detonated in Arab Ebjur area, Baghdad city, Baghdad governorate, Iraq. The owner of the vehicle, a Sahwa Council member, was killed and three members were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: Assailants armed with mortars and firearms attacked Suluk, Raqqah governorate, Syria. There were no reported casualties in the incident. The Islamic State in Iraq and the Levant (ISIL) claimed responsibility for the attack."
"South Asia","02/27/2016: Assailants opened fire on a van carrying police commander Juma Khan in Chesima Shifa area, Sari Pul city, Sari Pul province, Afghanistan. Khan and six civilians were killed in the attack. This was one of two consecutive attacks carried out by the same assailants on the same day. The Taliban claimed responsibility for the incidents."
"South Asia","02/27/2016: Assailants attacked a police post in Baghawa village, Sari Pul province, Afghanistan. At least four police officers and one assailant were killed in the ensuing clashes that lasted for several hours. This was one of two consecutive attacks carried out by the same assailants on the same day. The Taliban claimed responsibility for the incidents."
"Sub-Saharan Africa","02/27/2016: Assailants attacked an African Union Mission in Somalia (AMISOM) base in Suuqa Xoolaha area, Mogadishu, Banaadir, Somalia. At least one soldier was killed and three soldiers were injured, while the assailants sustained an unspecified number of casualties in the ensuing clash. Al-Shabaab claimed responsibility for the attack."
"South Asia","02/27/2016: Security forces discovered and defused two explosive devices in Musayi district, Kabul province, Afghanistan. No group claimed responsibility for the incident."
"South Asia","02/27/2016: An explosive device detonated near the vehicle of Malik Noor Zada in Kamangara, Nawagai subdistrict, Federally Administered Tribal Areas, Pakistan. Zada, a tribal elder, was injured in the blast. No group claimed responsibility for the attack."
"South Asia","02/27/2016: Assailants opened fire on Fazal Khan in Mala Said Banda, Salarzai subdistrict, Federally Administered Tribal Areas, Pakistan. Khan, a tribal elder and Aman Lashkars member, was killed in the assault. No group claimed responsibility for the attack."
"South Asia","02/27/2016: Security forces discovered and defused four explosive devices in Tubed, Jharkhand state, India. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Communist Party of India - Maoist (CPI-Maoist)."
"Middle East & North Africa","02/27/2016: Assailants attacked security forces near Ramadi, Al Anbar, Iraq. This was one of three coordinated assaults involving six explosives-laden vehicles in the area on the same day. Security members repelled the three attacks, killing 11 assailants, including two suicide bombers. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/27/2016: Assailants attacked security forces in Al-Asriyah, Ramadi, Al Anbar, Iraq. This was one of three coordinated assaults involving six explosives-laden vehicles in the area on the same day. Security members repelled the three attacks, killing 11 assailants, including two suicide bombers. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/27/2016: Assailants attacked security forces in Al-Hamadaniyah, Ramadi, Al Anbar, Iraq. This was one of three coordinated assaults involving six explosives-laden vehicles in the area on the same day. Security members repelled the three attacks, killing 11 assailants, including two suicide bombers. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/27/2016: Assailants attacked Turkoman Mobilization Forces (TMF) in Bashir area, Kirkuk, Iraq. At least one TMF member and 35 assailants were killed and four TMF members and 20 assailants were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"Southeast Asia","02/27/2016: An explosives-laden vehicle detonated near a Border Patrol Police (BPP) base in Rusa Milae, Muang district, Pattani province, Thailand. At least seven police officer and three civilians were injured in the blast. This was one of two coordinated attacks in the district on the same day. Separatists claimed responsibility for the incident."
"Southeast Asia","02/27/2016: Assailants opened fire on a civilian and stole his car in Talubo, Muang district, Pattani province, Thailand. The vehicle owner was injured in the attack. This was one of two related attacks in the district on the same day; the stolen car was later used as a car bomb. Separatists claimed responsibility for the incident."
"Middle East & North Africa","02/27/2016: An explosive device detonated targeting military personnel in Rafah, North Sinai, Egypt. At least two soldiers killed and two soldiers were injured in the blast. The Sinai province of the Islamic State claimed responsibility for the attack."
"Southeast Asia","02/27/2016: Security forces found and defused an explosive device in Sitio Butay, Pamintaran village, Maragusan town, Compostela Valley province, Philippines. No group claimed responsibility for the attempted attack."
"Western Europe","02/27/2016: Assailants torched a planned refugee center in Giannitsa, Central Macedonia, Greece. There were no casualties. No group claimed responsibility for the incident."
"South Asia","02/27/2016: Assailants abducted Amrat Hurra and at least one other family member in Ghotha area, Chhattisgarh state, India. Hurra was killed and his family member was released shortly after the abduction. Maoists claimed responsibility for the incident and accused Amrat Hurra of being a police informant."
"South Asia","02/27/2016: Assailants shot and killed Sukhram Poyam in Kundla area, Chhattisgarh state, India. No group claimed responsibility; however, sources attributed the attack to Maoists, who accused the victim of being a police informant."
"Middle East & North Africa","02/27/2016: Assailants fired rockets at the Khan Al-Sheikh Refugee Camp in Khan ash-Shih, Rif Dimashq governorate, Syria. At least two people were killed in the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","02/27/2016: Assailants opened fire on Mousa Mohammed Haroun in El Shuhada district, North Darfur state, Sudan. Haroun, a civilian, and two other people were injured in the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","02/27/2016: Assailants opened fire on a civilian vehicle between El Fashir and Melit, North Darfur state, Sudan. The driver was killed in the attack. No group claimed responsibility for the incident."
"South Asia","02/27/2016: An explosive device was discovered and defused in Dar Samand, Khyber Pakhtunkhwa province, Pakistan. No group claimed responsibility for the attack."
"Middle East & North Africa","02/27/2016: Assailants detonated explosives at a security building in al Lahij city, Lahij governorate, Yemen. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"Middle East & North Africa","02/27/2016: Assailants threw a grenade inside of Ain al-Hilweh refugee camp in South governorate, Lebanon. There were no reported casualties in the blast. This was one of three related grenade attacks that occurred in separate areas of the camp on this date. No group claimed responsibility for the incidents."
"Middle East & North Africa","02/27/2016: Assailants threw a grenade inside of Ain al-Hilweh refugee camp in South governorate, Lebanon. There were no reported casualties in the blast. This was one of three related grenade attacks that occurred in separate areas of the camp on this date. No group claimed responsibility for the incidents."
"Middle East & North Africa","02/27/2016: Assailants threw a grenade inside of Ain al-Hilweh refugee camp in South governorate, Lebanon. There were no reported casualties in the blast. This was one of three related grenade attacks that occurred in separate areas of the camp on this date. No group claimed responsibility for the incidents."
"Western Europe","02/27/2016: An assailant threw an incediary device at a mosque in Enschede, Overijssel, Netherlands. There were no reported casualties in the attack. No group claimed responsibility; however, sources identified the assailant as a right-wing extremist."
"Middle East & North Africa","02/27/2016: Assailants shot and killed Badr Hamdi al-Rashidi, a soldier, in an unknown location in Saudi Arabia. In a video posted after the incident, the assailants pledged allegiance to the Islamic State of Iraq in the Levant (ISIL) and claimed responsibility for the attack; however, authorities stated that it was unclear if the assailants were actually members of ISIL. Sources also noted that the attackers were relatives of al-Rashidi."
"Middle East & North Africa","02/28/2016: Assailants fired a missile at an unknown target in Ibb governorate, Yemen. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Huthi extremists."
"Middle East & North Africa","02/28/2016: A suicide bomber detonated an explosive device at the Muridi Market in Sadr City, Baghdad city, Baghdad governorate, Iraq. This was one of two suicide attacks in the market within a few minutes. In addition to the assailants, at least 73 people were killed, 112 people were injured, and five people were unaccounted for across both events. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents."
"Middle East & North Africa","02/28/2016: An explosive device detonated in An Nuayriyah area, 9 Nissan neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/28/2016: An explosive device detonated near a restaurant in Siba area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","02/28/2016: An explosive device detonated near a market in Sayid Abdallah, Mahmudiyah district, Babil, Iraq. At least two people were killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"South Asia","02/27/2016: An explosive device detonated near a Pakistan Armed Forces vehicle in Karawan, Dattakhel subdistrict, Federally Administered Tribal Areas, Pakistan. At least one soldier was killed and another was injured in the blast. No group claimed responsibility for the attack."
